objectid,parentid,title,type,date,creator,is_part_of,publication_place,trove_url,source_url,abstract,description,subject,extent,format,language,rights,location,latitude,longitude,filename,pages
work-255392148,,"Battery of Stiger Vortex rain-making guns at Charleville, 1902",Photograph,2008,,,,https://trove.nla.gov.au/work/255392148,https://hdl.handle.net/10462/deriv/77021,,,"rain-making equipment.; Rain - Making Equipment, 1902; meteorological equipment",,image/jpeg,,You are free to use without permission. Please attribute the State Library of Queensland.; Out of copyright.,,,,work-255392148-0.jpg,
work-10161216,,"[Carr Boyd 1880 Queensland border] : [return part of route traversed by North-Western Exploration Party led by W.O. Hodgkinson 1876, The Bluffs to Lake Mary] / traced by Clemt. L. Wragge",Map/Single map;Map,1880-1968,"Carr-Boyd, William Henry James, 1852-1925",series: Explorers' plans Northern Territory ; no. 20A.,Australia/Australian Capital Territory; Australia,https://trove.nla.gov.au/work/10161216,http://nla.gov.au/nla.obj-233242236,,,Northern Territory -- Lake Nash Region -- Discovery and exploration -- Maps.; Georgina River Region (Qld.) -- Discovery and exploration -- Maps.,"1 map on 2 sheets ; 120 x 73 cm., sheets 102 x 75 cm. and 51 x 61 cm.",image/jpeg,,,Queensland; Northern Territory,-22.5,138.625,work-10161216-0.jpg,
work-233112420,,"APPENDIX JJ. % REPORT ON METEOROLOGICAL OBSERVATIONS TAKEN IN BRITISH NEW GUINEA, BT CLEMENT L. WRAGGE, E.R.G.8., E.R. MET. SOC., Ac., GOVERNMENT METEOROLOGIST OF QUEENSLAND. (1 July 1893)",Article/Journal or magazine article;Article,1893,British New Guinea. Administrator author; Australia. Parliament issuing body,Annual report on British New Guinea.; series: Parliamentary paper (Australia. Parliament); series: Rex Nan Kivell Collection,Australia/Queensland; Australia,https://trove.nla.gov.au/work/233112420,https://nla.gov.au/nla.obj-111037847,,,a-pp; Papua New Guinea; Papua--Politics and government--Periodicals.,,compound_object,,,,,,,
work-233112420-0,work-233112420,"APPENDIX JJ. % REPORT ON METEOROLOGICAL OBSERVATIONS TAKEN IN BRITISH NEW GUINEA, BT CLEMENT L. WRAGGE, E.R.G.8., E.R. MET. SOC., Ac., GOVERNMENT METEOROLOGIST OF QUEENSLAND. (1 July 1893)",Article/Journal or magazine article;Article,1893,British New Guinea. Administrator author; Australia. Parliament issuing body,Annual report on British New Guinea.; series: Parliamentary paper (Australia. Parliament); series: Rex Nan Kivell Collection,Australia/Queensland; Australia,https://trove.nla.gov.au/work/233112420,https://nla.gov.au/nla.obj-111037847,,,a-pp; Papua New Guinea; Papua--Politics and government--Periodicals.,,image/jpeg,,,,,,work-233112420-0.jpg,
work-233112420-1,work-233112420,"APPENDIX JJ. % REPORT ON METEOROLOGICAL OBSERVATIONS TAKEN IN BRITISH NEW GUINEA, BT CLEMENT L. WRAGGE, E.R.G.8., E.R. MET. SOC., Ac., GOVERNMENT METEOROLOGIST OF QUEENSLAND. (1 July 1893)",Article/Journal or magazine article;Article,1893,British New Guinea. Administrator author; Australia. Parliament issuing body,Annual report on British New Guinea.; series: Parliamentary paper (Australia. Parliament); series: Rex Nan Kivell Collection,Australia/Queensland; Australia,https://trove.nla.gov.au/work/233112420,https://nla.gov.au/nla.obj-111037847,,,a-pp; Papua New Guinea; Papua--Politics and government--Periodicals.,,image/jpeg,,,,,,work-233112420-1.jpg,
work-246282609,,A Day with the Weather Clerk. (1 January 1902),Article/Journal or magazine article;Article,1902,,Wragge's Australasian almanac and weather guide for land and sea.,Australia/Queensland; Australia,https://trove.nla.gov.au/work/246282609,https://nla.gov.au/nla.obj-2902211121,,,"Almanacs, Australian.; Meteorology--Australia.",,compound_object,,,,,,,
work-246282609-0,work-246282609,A Day with the Weather Clerk. (1 January 1902),Article/Journal or magazine article;Article,1902,,Wragge's Australasian almanac and weather guide for land and sea.,Australia/Queensland; Australia,https://trove.nla.gov.au/work/246282609,https://nla.gov.au/nla.obj-2902211121,,,"Almanacs, Australian.; Meteorology--Australia.",,image/jpeg,,,,,,work-246282609-0.jpg,
work-246282609-1,work-246282609,A Day with the Weather Clerk. (1 January 1902),Article/Journal or magazine article;Article,1902,,Wragge's Australasian almanac and weather guide for land and sea.,Australia/Queensland; Australia,https://trove.nla.gov.au/work/246282609,https://nla.gov.au/nla.obj-2902211121,,,"Almanacs, Australian.; Meteorology--Australia.",,image/jpeg,,,,,,work-246282609-1.jpg,
work-246282609-2,work-246282609,A Day with the Weather Clerk. (1 January 1902),Article/Journal or magazine article;Article,1902,,Wragge's Australasian almanac and weather guide for land and sea.,Australia/Queensland; Australia,https://trove.nla.gov.au/work/246282609,https://nla.gov.au/nla.obj-2902211121,,,"Almanacs, Australian.; Meteorology--Australia.",,image/jpeg,,,,,,work-246282609-2.jpg,
work-247711137,,"Rainfall Observations in Queensland from 1st July, 1887, to 1st July, 1888. (1 January 1889)",Article/Journal or magazine article;Article,1889,"Greville, Edward; by CLEMENT L. WRAGGE",The Year-book of Australia.,Australia/National; Australia,https://trove.nla.gov.au/work/247711137,https://nla.gov.au/nla.obj-2967000523,,,Australia--Registers.,,image/jpeg,,,,,,work-247711137-0.jpg,
